#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-06-23T10:41:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ558937a53bf5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/577/A128&tab:{J/A+A/577/A128/tablea2}&key:source=J/A+A/577/A128/tablea2&HTTPPRM:&
#-source=J/A+A/577/A128/tablea2
#-order=I
#-out=Karmn
#-out=PC1
#-out=TiO2
#-out=TiO5
#-out=VO-7912
#-out=Color-M
#-out=CaH2
#-out=CaH3
#-out=zeta
#-out=pEW(Ha)
#-out=e_pEW(Ha)
#-out=E_pEW(Ha)
#

#RESOURCE=yCat_35770128
#Name: J/A+A/577/A128
#Title: CARMENES input catalogue of M dwarfs. I (Alonso-Floriano+, 2015)
#Table	J_A_A_577_A128_tablea2:
#Name: J/A+A/577/A128/tablea2
#Title: Spectral indices, zeta index and pEW(Halpha)
#Column	Karmn	(a13)	Our CARMENES star identification \linkRole{basic star data }	[ucd=meta.id;meta.main]
#Column	PC1	(F6.3)	PC1 spectral index (Martin et al. 1996ApJ...469..706M)	[ucd=spect.index]
#Column	TiO2	(F6.3)	TiO2 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	TiO5	(F6.3)	TiO5 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	VO-7912	(F6.3)	VO-7912 spectral index (Martin et al. 1999AJ....118.2466M)	[ucd=spect.index]
#Column	Color-M	(F6.3)	Color-M spectral index (Lepine et al. 2003, Cat. J/AJ/125/1598)	[ucd=spect.index]
#Column	CaH2	(F6.3)	CaH2 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	CaH3	(F6.3)	CaH3 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	zeta	(F6.3)	zeta metallicity spectral index (Lepine et al. 2007ApJ...669.1235L)	[ucd=spect.index]
#Column	pEW(Ha)	(F5.1)	Pseudo-equivalent width of Halpha line	[ucd=spect.line.eqWidth]
#Column	e_pEW(Ha)	(F4.1)	Error in pEW(Ha) (lower value)	[ucd=stat.error]
#Column	E_pEW(Ha)	(F4.1)	Error in pEW(Ha) (upper value)	[ucd=stat.error;stat.max]
Karmn|PC1|TiO2|TiO5|VO-7912|Color-M|CaH2|CaH3|zeta|pEW(Ha)|e_pEW(Ha)|E_pEW(Ha)
J10508+068   | 1.261| 0.586| 0.385| 1.110| 1.670| 0.461| 0.727| 1.010|  0.0| 0.4| 0.4
J10546-073   | 1.256| 0.609| 0.380| 1.106| 1.540| 0.466| 0.752| 1.061|  0.0| 0.4| 0.4
V* 56 Leo (HD 94705) | J10560+061   | 1.448| 0.668| 0.414| 1.297| 3.074| 0.683| 1.373| 7.230|  0.0| 0.4| 0.4
J10563+042   | 1.102| 0.699| 0.510| 1.046| 1.137| 0.551| 0.772| 0.973|  0.0| 0.4| 0.4
V* CN Leo (Gl 406) | J10564+070   | 1.662| 0.328| 0.226| 1.244| 3.418| 0.327| 0.645| 1.025|-10.9| 0.2| 0.9
J10584-107   | 1.324| 0.445| 0.312| 1.156| 1.933| 0.387| 0.635| 0.948| -6.1| 0.7| 0.4
J11018-024   | 1.001| 0.842| 0.690| 1.002| 0.769| 0.927| 0.953| 2.412|  0.9| 0.1| 0.3
J11030+037   | 1.112| 0.698| 0.501| 1.052| 1.165| 0.540| 0.770| 0.972|  0.0| 0.3| 0.3
V* HD 95735 (HD 95735) | J11033+359   | 1.042| 0.773| 0.570| 1.018| 0.991| 0.616| 0.823| 1.042|  0.0| 0.3| 0.3
J11046-042SAB| 0.959| 0.862| 0.763| 0.989| 0.792| 0.794| 0.879| 0.984| -1.9| 0.1| 0.2
J11054+435   | 0.978| 0.829| 0.678| 0.995| 0.853| 0.687| 0.845| 0.947|  0.0| 0.3| 0.3
J11055+435   | 1.472| 0.299| 0.191| 1.232| 2.560| 0.257| 0.473| 0.937|-10.2| 1.9| 1.2
J11075+437   | 1.135| 0.651| 0.468| 1.068| 1.256| 0.488| 0.713| 0.891| -2.9| 0.4| 0.4
J11151+734N  | 1.097| 0.707| 0.517| 1.043| 1.120| 0.555| 0.774| 0.968|  0.0| 0.3| 0.3
J11151+734S  | 0.809| 0.987| 0.913| 0.987| 0.560| 1.087| 1.018| 1.125|  0.8| 0.2| 0.2
J11201-104AB | 1.057| 0.755| 0.566| 1.020| 0.886| 0.611| 0.773| 0.954| -3.3| 0.2| 0.2
J11201+301   | 1.001| 0.802| 0.646| 0.999| 0.795| 0.897| 0.948| 2.449|  0.9| 0.3| 0.2
J11214-204S  | 1.124| 0.697| 0.535| 1.053| 1.211| 0.552| 0.757| 0.904| -3.3| 0.2| 0.2
J11214-204N  | 0.902| 0.938| 0.870| 0.973| 0.676| 0.934| 0.943| 0.998|  0.0| 0.3| 0.3
J11218+181   | 0.943| 0.859| 0.737| 0.993| 0.774| 0.788| 0.888| 1.099|  0.0| 0.4| 0.4
J11240+381   | 1.259| 0.510| 0.352| 1.136| 1.693| 0.405| 0.649| 0.921| -6.9| 0.3| 0.4
J11306-080   | 1.189| 0.651| 0.434| 1.067| 1.300| 0.487| 0.738| 0.976|  0.0| 0.3| 0.3
J11312+631   | 0.907| 0.934| 0.855| 0.974| 0.696| 0.912| 0.941| 1.029|  0.3| 0.1| 0.2
J11378+418   | 1.071| 0.731| 0.523| 1.032| 1.011| 0.586| 0.817| 1.084|  0.0| 0.3| 0.3
J11403+095   | 1.006| 0.804| 0.628| 1.015| 0.881| 0.647| 0.824| 0.961|  0.0| 0.3| 0.3
J11421+267   | 1.090| 0.697| 0.489| 1.046| 1.136| 0.545| 0.779| 1.017|  0.0| 0.3| 0.3
J11451+183   | 1.246| 0.576| 0.389| 1.107| 1.492| 0.488| 0.759| 1.086|  0.0| 0.3| 0.3
J11458+065   | 0.974| 0.804| 0.636| 0.990| 0.722| 0.896| 0.967| 2.677|  0.8| 0.2| 0.1
J11472+770   | 0.893| 0.902| 0.807| 0.970| 0.650| 0.888| 0.927| 1.212|  0.4| 0.2| 0.1
J11474+667   | 1.338| 0.444| 0.307| 1.170| 1.971| 0.398| 0.657| 0.986| -9.2| 0.6| 0.6
J11485+076   | 1.171| 0.570| 0.408| 1.100| 1.369| 0.440| 0.663| 0.883| -6.2| 0.5| 0.5
J11511+352   | 1.015| 0.802| 0.640| 1.004| 0.930| 0.650| 0.828| 0.945|  0.0| 0.3| 0.3
J11522+100   | 1.297| 0.571| 0.374| 1.112| 1.635| 0.470| 0.739| 1.057| -0.8| 0.2| 0.4
J11549-021   | 1.130| 0.668| 0.464| 1.056| 1.239| 0.512| 0.747| 0.967|  0.0| 0.3| 0.3
J12025+084   | 1.011| 0.769| 0.589| 1.012| 0.949| 0.590| 0.790| 0.898|  0.0| 0.3| 0.3
J12049+174   | 1.143| 0.622| 0.440| 1.075| 1.229| 0.475| 0.701| 0.907| -6.2| 0.2| 0.2
J12069+058   | 0.874| 0.956| 0.901| 0.966| 0.624| 0.999| 0.971| 1.011|  0.5| 0.1| 0.1
J12088+217   | 0.971| 0.860| 0.737| 0.997| 0.819| 0.766| 0.890| 1.040|  0.0| 0.3| 0.3
J12093+210   | 1.131| 0.661| 0.472| 1.066| 1.230| 0.527| 0.758| 0.989| -0.7| 0.3| 0.3
J12104-131   | 1.263| 0.516| 0.352| 1.123| 1.619| 0.424| 0.679| 0.967| -3.5| 0.5| 0.5
J12124+121   | 1.053| 0.746| 0.560| 1.022| 1.027| 0.599| 0.798| 0.989|  0.0| 0.3| 0.3
J12162+508   | 1.280| 0.544| 0.374| 1.120| 1.540| 0.446| 0.697| 0.976| -7.6| 0.4| 0.4
J12228-040   | 1.288| 0.488| 0.335| 1.152| 1.709| 0.402| 0.651| 0.943| -6.5| 0.4| 0.5
J12322+454   | 1.147| 1.023| 0.641| 1.100| 1.338| 0.996| 1.470| 1.593|  0.8| 0.2| 0.1
J12349+322   | 1.157| 0.649| 0.439| 1.078| 1.330| 0.497| 0.741| 0.985|  0.0| 0.3| 0.3
J12364+352   | 1.296| 0.546| 0.363| 1.131| 1.750| 0.432| 0.703| 0.984| -1.7| 0.3| 0.3
J12368-019   | 1.226| 0.603| 0.400| 1.103| 1.444| 0.490| 0.758| 1.067|  0.0| 0.3| 0.3
J12372+358   | 1.028| 0.754| 0.583| 1.019| 0.937| 0.620| 0.810| 0.995|  0.0| 0.3| 0.3
J12417+567   | 1.155| 0.604| 0.433| 1.083| 1.327| 0.469| 0.694| 0.905| -5.0| 0.3| 0.3
J12440-111   | 1.282| 0.523| 0.346| 1.136| 1.709| 0.416| 0.672| 0.960| -4.4| 0.3| 0.4
J12456+271   | 1.211| 0.872| 0.542| 1.114| 1.521| 0.859| 1.346| 5.309|  0.7| 0.2| 0.2
J12470+466   | 1.125| 0.691| 0.499| 1.049| 1.168| 0.560| 0.791| 1.042|  0.0| 0.3| 0.3
J12488+120   | 1.303| 0.539| 0.331| 1.119| 1.718| 0.424| 0.710| 1.032|  0.0| 0.3| 0.3
J12533-053   | 1.118| 0.654| 0.436| 1.062| 1.092| 0.513| 0.771| 1.056|  0.0| 0.3| 0.3
J12533+466   | 1.145| 0.913| 0.601| 1.098| 1.630| 0.945| 1.329| 3.775|  0.7| 0.1| 0.2
J12549-063   | 1.331| 0.495| 0.341| 1.141| 1.868| 0.381| 0.619| 0.891| -5.5| 0.4| 0.6
J12593-001   | 1.241| 0.603| 0.398| 1.091| 1.443| 0.483| 0.757| 1.059|  0.0| 0.3| 0.3
J13027+415   | 1.184| 0.638| 0.432| 1.088| 1.327| 0.505| 0.758| 1.033|  0.0| 0.3| 0.3
J13088-015   | 1.141| 0.640| 0.454| 1.060| 1.191| 0.514| 0.759| 1.007|  0.0| 0.3| 0.3
J13102+477   | 1.348| 0.478| 0.306| 1.165| 1.921| 0.390| 0.655| 0.978| -5.9| 0.8| 0.5
J13113+096   | 0.912| 0.898| 0.787| 0.981| 0.688| 0.880| 0.942| 1.372|  0.5| 0.2| 0.2
J13143+133AB | 1.587| 0.336| 0.221| 1.282| 2.931| 0.322| 0.618| 1.006|-16.9| 1.1| 1.4
J13167-123   | 1.195| 0.617| 0.415| 1.084| 1.374| 0.469| 0.712| 0.953|  0.0| 0.4| 0.4
J13168+170   | 0.964| 0.845| 0.700| 0.990| 0.806| 0.736| 0.864| 1.032|  0.0| 0.3| 0.3
J13179+362   | 0.986| 0.806| 0.632| 1.005| 0.861| 0.703| 0.870| 1.186|  0.0| 0.3| 0.3
J13182+733   | 1.200| 0.600| 0.393| 1.099| 1.367| 0.489| 0.752| 1.069|  0.0| 0.4| 0.4
J13247-050   | 1.260| 0.571| 0.377| 1.112| 1.643| 0.457| 0.721| 1.014| -1.2| 0.6| 0.5
J13251-114   | 1.120| 0.655| 0.466| 1.065| 1.206| 0.516| 0.746| 0.969| -1.6| 0.2| 0.4
J13253+426   | 0.887| 0.959| 0.900| 0.965| 0.648| 0.982| 0.970| 0.970|  0.5| 0.1| 0.1
J13260+275   | 1.105| 0.644| 0.476| 1.071| 1.187| 0.502| 0.735| 0.918| -2.0| 0.4| 0.4
J13294-143   | 1.181| 0.583| 0.426| 1.092| 1.251| 0.473| 0.688| 0.913| -6.1| 0.5| 0.4
J13312+589   | 1.080| 0.723| 0.539| 1.036| 1.077| 0.548| 0.765| 0.903|  0.0| 0.3| 0.3
J13314-079   | 0.928| 0.879| 0.754| 0.978| 0.709| 0.812| 0.906| 1.157|  0.4| 0.1| 0.2
J13321-112   | 0.913| 0.899| 0.795| 0.975| 0.701| 0.862| 0.914| 1.146|  0.4| 0.1| 0.2
J13326+309   | 1.266| 0.508| 0.346| 1.135| 1.630| 0.415| 0.664| 0.952| -5.3| 0.4| 0.3
J13335+704   | 1.221| 0.615| 0.411| 1.089| 1.436| 0.485| 0.746| 1.024|  0.0| 0.4| 0.4
J13386-115   | 1.263| 0.499| 0.348| 1.133| 1.565| 0.411| 0.648| 0.930| -6.4| 0.5| 0.5
J13394+461AB | 1.024| 0.780| 0.606| 1.011| 0.928| 0.671| 0.854| 1.139|  0.0| 0.3| 0.3
J13413-091   | 1.117| 0.682| 0.476| 1.058| 1.161| 0.521| 0.750| 0.962|  0.0| 0.3| 0.3
J13414+489   | 1.169| 0.667| 0.451| 1.069| 1.327| 0.498| 0.742| 0.965|  0.0| 0.3| 0.3
J13474+063   | 0.881| 0.957| 0.914| 0.967| 0.641| 1.007| 0.974| 0.907|  0.6| 0.1| 0.1
J13503-216   | 1.212| 0.612| 0.400| 1.085| 1.442| 0.479| 0.735| 1.019|  0.0| 0.3| 0.3
J13537+521AB | 1.160| 0.600| 0.422| 1.081| 1.271| 0.507| 0.746| 1.036|  0.0| 0.6| 0.6
J13551-079   | 0.915| 0.892| 0.780| 0.976| 0.694| 0.834| 0.905| 1.098|  0.3| 0.1| 0.2
J13555-073   | 1.132| 0.673| 0.477| 1.039| 1.166| 0.530| 0.761| 0.991|  0.0| 0.3| 0.3
J13582-120   | 1.295| 0.533| 0.338| 1.142| 1.705| 0.442| 0.715| 1.050|  0.0| 0.6| 0.6
J13583-132   | 1.243| 0.565| 0.377| 1.110| 1.574| 0.440| 0.697| 0.965| -1.9| 0.3| 0.4
J13587+465   | 1.085| 0.732| 0.558| 1.012| 0.927| 0.827| 0.941| 2.414|  1.0| 0.1| 0.1
J14019+432   | 1.087| 0.686| 0.487| 1.042| 1.052| 0.541| 0.767| 0.995|  0.0| 0.3| 0.3
J14102-180   | 1.125| 0.690| 0.498| 1.049| 1.160| 0.571| 0.801| 1.081|  0.0| 0.3| 0.3
J14159-110   | 1.032| 0.757| 0.602| 1.012| 0.892| 0.625| 0.794| 0.931| -2.0| 0.3| 0.2
J14171+088   | 1.273| 0.524| 0.326| 1.122| 1.627| 0.427| 0.703| 1.036| -1.0| 0.4| 0.3
J14175+025   | 1.121| 0.669| 0.483| 1.059| 1.192| 0.512| 0.731| 0.915| -2.5| 0.3| 0.5
J14194+029   | 1.372| 0.471| 0.309| 1.166| 1.942| 0.394| 0.671| 0.992| -7.4| 0.7| 0.5
J14195-051   | 1.217| 0.576| 0.370| 1.107| 1.494| 0.446| 0.687| 0.972|  0.0| 0.3| 0.3
J14215-079   | 1.240| 0.609| 0.401| 1.094| 1.504| 0.480| 0.755| 1.046|  0.0| 0.3| 0.3
J14227+164   | 1.342| 0.476| 0.326| 1.147| 1.857| 0.399| 0.652| 0.954| -6.4| 0.6| 0.4
J14244+602   | 1.073| 0.751| 0.569| 1.020| 0.989| 0.610| 0.807| 1.004|  0.0| 0.3| 0.3
J14251+518   | 1.083| 0.707| 0.511| 1.034| 1.063| 0.558| 0.780| 0.995|  0.0| 0.3| 0.3
J14255-118   | 1.239| 0.585| 0.400| 1.100| 1.491| 0.475| 0.734| 1.012| -2.0| 0.4| 0.4
J14312+754   | 1.194| 0.548| 0.377| 1.100| 1.436| 0.406| 0.630| 0.870| -4.7| 0.6| 0.5
J14336+093   | 1.167| 0.649| 0.432| 1.071| 1.286| 0.501| 0.750| 1.015|  0.0| 0.3| 0.3
J14415+136   | 1.008| 0.810| 0.658| 1.004| 0.868| 0.693| 0.839| 1.006|  0.0| 0.3| 0.3
J14446-222   | 1.315| 0.540| 0.350| 1.116| 1.654| 0.468| 0.755| 1.119|  0.0| 0.3| 0.3
J14472+570   | 1.192| 0.547| 0.386| 1.103| 1.353| 0.436| 0.659| 0.908| -6.7| 0.3| 0.5
J14480+384   | 0.880| 0.937| 0.858| 0.972| 0.639| 0.932| 0.945| 1.092|  0.4| 0.1| 0.1
J14485+101   | 1.209| 0.618| 0.426| 1.079| 1.361| 0.505| 0.759| 1.045|  0.0| 0.3| 0.3
J14492+498   | 1.020| 0.779| 0.611| 1.021| 0.920| 0.648| 0.821| 1.000|  0.0| 0.3| 0.3
J14501+323   | 1.188| 0.633| 0.429| 1.074| 1.305| 0.516| 0.774| 1.080|  0.0| 0.3| 0.3
J14544+161ABC| 0.981| 0.748| 0.570| 1.006| 0.802| 0.619| 0.798| 1.002| -1.4| 0.2| 0.3
J14595+454   | 0.887| 0.946| 0.885| 0.960| 0.641| 0.956| 0.954| 0.985|  0.5| 0.1| 0.1
J15079+762   | 1.268| 0.469| 0.322| 1.149| 1.556| 0.412| 0.667| 0.986| -9.0| 0.3| 0.5
J15081+623   | 1.229| 0.623| 0.416| 1.098| 1.462| 0.477| 0.728| 0.980|  0.0| 0.3| 0.3
J15118+395   | 1.107| 0.701| 0.504| 1.045| 1.130| 0.537| 0.759| 0.946|  0.0| 0.3| 0.3
J15131+181   | 1.052| 0.751| 0.571| 1.027| 0.981| 0.602| 0.800| 0.973|  0.0| 0.3| 0.3
J15142-099   | 1.226| 0.538| 0.355| 1.109| 1.414| 0.428| 0.674| 0.960| -3.8| 0.4| 0.6
J15147+645   | 1.156| 0.626| 0.414| 1.066| 1.354| 0.433| 0.668| 0.872| -0.5| 0.1| 0.2
J15151+333   | 1.064| 0.734| 0.529| 1.023| 1.039| 0.562| 0.774| 0.957|  0.0| 0.3| 0.3
J15157-074   | 1.207| 0.566| 0.384| 1.103| 1.390| 0.440| 0.690| 0.946| -3.3| 0.2| 0.4
J15164+167   | 0.880| 0.936| 0.868| 0.965| 0.645| 0.963| 0.969| 1.203|  0.6| 0.1| 0.1
J15197+046   | 1.238| 0.588| 0.400| 1.099| 1.585| 0.444| 0.692| 0.927| -1.8| 0.3| 0.3
J15204+001   | 0.899| 0.921| 0.829| 0.972| 0.673| 0.872| 0.927| 1.026|  0.4| 0.1| 0.2
J15210+255   | 0.888| 0.937| 0.860| 0.975| 0.647| 0.939| 0.947| 1.110|  0.4| 0.1| 0.2
J15238+584   | 1.197| 0.549| 0.381| 1.105| 1.345| 0.432| 0.660| 0.913| -8.2| 0.3| 0.3
J15277-090   | 1.345| 0.513| 0.331| 1.146| 1.901| 0.427| 0.713| 1.038|  0.0| 0.4| 0.4
J15290+467AB | 1.308| 0.490| 0.323| 1.141| 1.808| 0.389| 0.640| 0.939| -4.8| 0.4| 0.5
J15291+574   | 0.981| 0.838| 0.708| 0.991| 0.840| 0.729| 0.867| 0.995|  0.0| 0.3| 0.3
J15305+094   | 1.482| 0.380| 0.244| 1.216| 2.570| 0.319| 0.586| 0.953| -7.4| 0.8| 0.8
J15340+513   | 1.337| 0.551| 0.348| 1.119| 1.848| 0.446| 0.730| 1.057| -0.9| 0.3| 0.4
J15386+371   | 1.184| 0.640| 0.425| 1.081| 1.336| 0.493| 0.751| 1.017|  0.0| 0.4| 0.4
J15430-130   | 1.015| 0.788| 0.617| 1.018| 0.922| 0.644| 0.818| 0.973|  0.0| 0.3| 0.3
J15474+451   | 1.232| 0.564| 0.366| 1.100| 1.485| 0.441| 0.708| 0.996| -4.1| 0.5| 0.7
J15476+226   | 1.276| 0.504| 0.338| 1.134| 1.630| 0.417| 0.672| 0.973| -4.7| 0.2| 0.4
J15480+043   | 1.122| 0.668| 0.499| 1.047| 1.137| 0.526| 0.745| 0.922| -4.7| 0.2| 0.3
J15481+015   | 1.132| 0.682| 0.495| 1.052| 1.241| 0.533| 0.751| 0.946|  0.0| 0.4| 0.4
J15499+796   | 1.375| 0.462| 0.302| 1.171| 1.969| 0.379| 0.635| 0.956| -6.7| 0.9| 0.6
J15552-101   | 1.107| 0.672| 0.466| 1.045| 1.029| 0.544| 0.785| 1.072|  0.0| 0.3| 0.3
J15557-103   | 1.178| 0.584| 0.412| 1.092| 1.272| 0.464| 0.689| 0.927| -4.9| 0.4| 0.5
J15558-118   | 1.157| 0.671| 0.454| 1.060| 1.163| 0.515| 0.765| 1.018|  0.0| 0.3| 0.3
J15569+376   | 1.083| 0.654| 0.489| 1.058| 1.043| 0.541| 0.744| 0.957| -5.2| 0.3| 0.3
J15578+090   | 1.280| 0.581| 0.373| 1.106| 1.629| 0.463| 0.740| 1.051|  0.0| 0.3| 0.3
J16023+036   | 1.022| 0.778| 0.637| 1.023| 0.911| 0.670| 0.812| 0.960| -3.7| 0.3| 0.3
J16042+235   | 1.398| 0.455| 0.302| 1.165| 2.058| 0.380| 0.645| 0.966| -6.8| 0.8| 0.8
J16048+391   | 1.210| 0.590| 0.361| 1.099| 1.460| 0.408| 0.661| 0.921| -1.7| 0.5| 0.3
J16120+033N  | 1.195| 0.573| 0.376| 1.098| 1.365| 0.454| 0.705| 0.991| -1.8| 1.0| 0.6
J16139+337AB | 1.113| 0.700| 0.510| 1.043| 1.128| 0.548| 0.769| 0.963|  0.0| 0.3| 0.3
J16148+606AB | 1.109| 0.655| 0.454| 1.057| 1.151| 0.481| 0.708| 0.899| -1.1| 0.6| 0.3
J16157+586   | 1.360| 0.464| 0.309| 1.154| 1.871| 0.401| 0.655| 0.983| -7.0| 0.6| 0.9
J16167+672S  | 0.931| 0.877| 0.762| 0.982| 0.738| 0.813| 0.899| 1.099|  0.0| 0.4| 0.4
J16183+757   | 1.266| 0.561| 0.368| 1.113| 1.604| 0.440| 0.700| 0.982| -1.0| 0.6| 0.5
J16243+199   | 1.121| 0.610| 0.456| 1.066| 1.052| 0.482| 0.697| 0.885| -6.3| 0.4| 0.6
J16254+543   | 1.014| 0.768| 0.591| 1.016| 0.920| 0.592| 0.777| 0.878|  0.0| 0.3| 0.3
J16269+149   | 1.259| 0.507| 0.354| 1.123| 1.342| 0.423| 0.643| 0.927| -8.8| 0.9| 0.7
J16276-035AB | 0.856| 0.964| 0.919| 0.962| 0.578| 1.043| 0.989| 0.961|  0.0| 0.5| 0.5
J16299+048   | 1.144| 0.646| 0.450| 1.071| 1.239| 0.503| 0.738| 0.969|  0.0| 0.3| 0.3
J16314+471   | 1.175| 0.564| 0.389| 1.094| 1.273| 0.445| 0.689| 0.942| -3.9| 0.4| 0.3
J16330+031   | 1.172| 0.648| 0.440| 1.064| 1.265| 0.511| 0.756| 1.022|  0.0| 0.3| 0.3
J16354-039   | 0.925| 0.958| 0.895| 0.977| 0.722| 0.889| 0.926| 0.664|  0.0| 0.4| 0.4
J16365+287   | 1.214| 0.602| 0.407| 1.088| 1.353| 0.500| 0.757| 1.069|  0.0| 0.3| 0.3
J16459+609   | 1.171| 0.627| 0.416| 1.085| 1.288| 0.480| 0.736| 0.994|  0.0| 0.4| 0.4
J16465+345   | 1.658| 0.354| 0.189| 1.238| 3.594| 0.300| 0.634| 1.042| -1.7| 0.7| 0.7
J16480+453   | 1.239| 0.521| 0.365| 1.121| 1.360| 0.435| 0.667| 0.947| -7.8| 0.4| 0.3
J16528+610   | 1.333| 0.526| 0.327| 1.138| 1.828| 0.431| 0.713| 1.050|  0.0| 0.5| 0.5
J16536+560   | 1.172| 0.583| 0.377| 1.085| 1.271| 0.476| 0.737| 1.059|  0.0| 0.3| 0.3
J16543+256   | 1.138| 0.645| 0.433| 1.066| 1.187| 0.521| 0.769| 1.070|  0.0| 0.3| 0.3
V* vB 8 (Gl 644C) | J16555-083   | 1.864| 0.239| 0.156| 1.318| 4.955| 0.242| 0.519| 0.987| -6.0| 1.1| 1.0
J17011+555   | 1.098| 0.721| 0.512| 1.038| 1.109| 0.536| 0.757| 0.926|  0.0| 0.3| 0.3
J17017+741   | 1.163| 0.612| 0.404| 1.075| 1.290| 0.467| 0.713| 0.970|  0.0| 0.3| 0.3
J17052-050   | 1.028| 0.747| 0.559| 1.019| 0.928| 0.631| 0.828| 1.113|  0.0| 0.3| 0.3
J17062+646   | 1.107| 0.673| 0.474| 1.047| 1.154| 0.504| 0.741| 0.930|  0.0| 0.3| 0.3
J17094+391   | 1.103| 0.663| 0.448| 1.051| 1.121| 0.499| 0.728| 0.954|  0.0| 0.3| 0.3
J17126-099   | 1.321| 0.610| 0.450| 1.050| 1.476| 0.673| 0.904| 1.788|  0.8| 0.1| 0.1
J17140+176   | 1.104| 0.693| 0.486| 1.046| 1.110| 0.547| 0.784| 1.033|  0.0| 0.3| 0.3
J17154+308   | 1.098| 0.708| 0.518| 1.045| 1.108| 0.560| 0.772| 0.973|  0.0| 0.3| 0.3
J17163-053   | 1.282| 0.552| 0.317| 1.112| 1.506| 0.427| 0.668| 1.009| -3.1| 0.2| 0.4
J17167+115   | 1.269| 0.566| 0.364| 1.110| 1.528| 0.468| 0.736| 1.067|  0.0| 0.3| 0.3
J17176+524   | 1.197| 0.616| 0.404| 1.091| 1.387| 0.467| 0.708| 0.965|  0.0| 0.6| 0.6
J17198+265   | 1.303| 0.462| 0.321| 1.159| 1.572| 0.414| 0.659| 0.982| -8.2| 0.7| 0.8
J17199+265   | 1.191| 0.612| 0.423| 1.087| 1.307| 0.495| 0.736| 1.003| -2.4| 0.2| 0.2
J17199+242   | 1.273| 0.521| 0.362| 1.136| 1.518| 0.431| 0.673| 0.953| -9.1| 0.8| 0.5
J17216-171   | 1.150| 1.101| 0.724| 1.084| 1.384| 1.062| 1.502| 0.840|  0.6| 0.2| 0.2
J17239+136   | 1.227| 0.579| 0.395| 1.100| 1.457| 0.449| 0.690| 0.939| -3.2| 0.3| 0.4
J17246+617   | 1.160| 0.610| 0.441| 1.062| 1.163| 0.499| 0.721| 0.957| -2.8| 0.3| 0.6
J17265-227   | 1.072| 0.676| 0.477| 1.046| 1.026| 0.534| 0.750| 0.980|  0.0| 0.4| 0.4
J17267-050   | 1.087| 0.698| 0.520| 1.036| 1.057| 0.577| 0.790| 1.026|  0.0| 0.4| 0.4
J17270+422   | 0.858| 0.962| 0.915| 0.967| 0.593| 1.048| 0.988| 1.012|  0.6| 0.2| 0.1
J17281-017   | 1.259| 0.546| 0.365| 1.120| 1.572| 0.439| 0.688| 0.973| -2.6| 0.6| 0.5
J17299-209   | 1.151| 0.646| 0.431| 1.078| 1.199| 0.525| 0.787| 1.112|  0.0| 0.4| 0.4
J17301+546   | 1.205| 0.628| 0.414| 1.089| 1.333| 0.503| 0.755| 1.056|  0.0| 0.4| 0.4
J17304+337   | 1.139| 0.607| 0.432| 1.076| 1.192| 0.487| 0.719| 0.955| -2.4| 0.4| 0.4
J17364+683   | 1.141| 0.652| 0.439| 1.063| 1.209| 0.520| 0.770| 1.061|  0.0| 0.4| 0.4
J17412+724   | 1.230| 0.566| 0.367| 1.113| 1.516| 0.430| 0.680| 0.951| -2.8| 0.4| 0.6
J17426+756   | 1.275| 0.544| 0.344| 1.132| 1.634| 0.422| 0.703| 1.002| -1.6| 0.4| 0.4
J17428+167   | 1.027| 0.768| 0.602| 1.014| 0.943| 0.624| 0.818| 0.973|  0.0| 0.4| 0.4
J17464+277AB | 1.190| 0.640| 0.431| 1.076| 1.302| 0.514| 0.762| 1.053|  0.0| 0.4| 0.4
J17477+277   | 1.020| 0.778| 0.608| 1.005| 0.936| 0.645| 0.833| 1.029|  0.0| 0.4| 0.4
J17520+566   | 1.219| 0.577| 0.427| 1.089| 1.273| 0.477| 0.705| 0.936| -7.3| 0.7| 0.6
J17559+294   | 1.188| 0.590| 0.399| 1.093| 1.331| 0.468| 0.715| 0.983|  0.0| 0.4| 0.4
J17578+046   | 1.168| 0.596| 0.382| 1.088| 1.384| 0.426| 0.666| 0.912|  0.0| 0.3| 0.3
J17578+465   | 1.135| 0.679| 0.464| 1.064| 1.205| 0.523| 0.766| 1.011|  0.0| 0.4| 0.4
J18006+685   | 0.927| 0.903| 0.834| 0.963| 0.696| 0.871| 0.916| 0.959|  0.0| 0.4| 0.4
J18007+295   | 1.067| 0.734| 0.557| 1.033| 1.069| 0.584| 0.792| 0.959|  0.0| 0.4| 0.4
