#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-06-23T10:41:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ558937d63ccc	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/577/A128&tab:{J/A+A/577/A128/tablea3}&key:source=J/A+A/577/A128/tablea3&HTTPPRM:&
#-source=J/A+A/577/A128/tablea3
#-order=I
#-out=Karmn
#-out=SpTl
#-out=r_SpTl
#-out=l_SpTb
#-out=SpTb
#-out=l_SpTc
#-out=SpTc
#-out=SpT2
#-out=SpT5
#-out=SpTP
#-out=SpTR
#-out=SpTC
#-out=l_SpT
#-out=SpT
#

#RESOURCE=yCat_35770128
#Name: J/A+A/577/A128
#Title: CARMENES input catalogue of M dwarfs. I (Alonso-Floriano+, 2015)
#Table	J_A_A_577_A128_tablea3:
#Name: J/A+A/577/A128/tablea3
#Title: Spectral type from literature and our work
#Column	Karmn	(a13)	Our CARMENES star identification \linkRole{basic star data }	[ucd=meta.id;meta.main]
#Column	SpTl	(a15)	Spectral type from bibliography	[ucd=src.spType]
#Column	r_SpTl	(a16)	Reference for SpT from bibliography, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	l_SpTb	(A2)	[<= ] Limit flag on SpTb	[ucd=meta.code.error]
#Column	SpTb	(F4.1)	? Spectral type from best-fit match	[ucd=src.spType]
#Column	l_SpTc	(A2)	[<=> ] Limit flag on SpTc	[ucd=meta.code.error]
#Column	SpTc	(F4.1)	? Spectral type from chi2 match	[ucd=src.spType]
#Column	SpT2	(F4.1)	? Spectral type from TiO2 index	[ucd=src.spType]
#Column	SpT5	(F4.1)	? Spectral type from TiO5 index	[ucd=src.spType]
#Column	SpTP	(F4.1)	? Spectral type from PC1 index	[ucd=src.spType]
#Column	SpTR	(F4.1)	? Spectral type from VO-7912 index	[ucd=src.spType]
#Column	SpTC	(F4.1)	? Spectral type from Color-M index	[ucd=src.spType]
#Column	l_SpT	(A1)	Limit flag on SpT	[ucd=meta.code.error]
#Column	SpT	(a7)	Adopted spectral type	[ucd=src.spType]
Karmn|SpTl|r_SpTl|l_SpTb|SpTb|l_SpTc|SpTc|SpT2|SpT5|SpTP|SpTR|SpTC|l_SpT|SpT
J11046-042SAB|M0Vke          |Gray03          |  | 0.0|  | 0.5| 0.5| 0.0| 0.5| 0.5| 0.5| |M0.5V
J11054+435   |M0.5V          |PMSU            |  | 1.0|  | 1.0| 1.0| 1.0| 1.0| 0.5| 1.0| |M1.0V
J11055+435   |M6.0V          |PMSU            |  | 6.0|  | 6.0| 6.5| 6.5| 5.5| 5.5| 5.5| |M5.5V
J11075+437   |               |                |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J11151+734N  |M2V            |Bid85           |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J11151+734S  |K3V            |Bid85           |  |    |< |-3.0|    |    |    |    |-2.5|<|K5V
J11201-104AB |M2.0V          |Riaz06          |  | 2.0|  | 2.0| 2.0| 2.0| 2.0| 1.5| 1.0| |M2.0V
J11201+301   |M0III          |,MP50, JE12     |  |    |  |    |    |    |    |    |    | |MIII
J11214-204S  |M1.0V          |PMSU            |  | 2.5|  | 2.5| 2.5| 2.5| 3.0| 3.0| 3.0| |M2.5V
J11214-204N  |K6V            |Gray06          |  |-1.0|  |-1.0|-1.0|-1.0|-0.5|-0.5|-1.0| |K7V
J11218+181   |K6.5V          |Simbad          |  | 0.0|  | 0.0| 0.5| 0.5| 0.0| 0.5| 0.5| |M0.0V
J11240+381   |M4.5V          |Reid07          |  | 4.5|  | 4.5| 4.5| 4.0| 4.0| 4.5| 4.5| |M4.5V
J11306-080   |M3V            |Gray06          |  | 3.0|  | 3.5| 3.0| 3.5| 3.5| 3.0| 3.5| |M3.5V
J11312+631   |K5V            |PMSU            |  |-1.0|  |-1.0|-1.0|-1.0|-0.5|-0.5|-0.5| |K7V
J11378+418   |               |                |  | 2.0|  | 2.0| 2.0| 2.5| 2.0| 2.0| 2.0| |M2.0V
J11403+095   |               |                |  | 1.5|  | 1.5| 1.5| 1.5| 1.0| 1.5| 1.0| |M1.5V
J11421+267   |M2.5V          |PMSU            |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J11451+183   |M4.0V          |Sch05           |  | 4.0|  | 3.5| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J11458+065   |M1III          |,KMc89, Gar89   |  |    |  |    |    |    |    |    |    | |MIII
J11472+770   |               |                |  | 0.0|  |-1.0|-0.5|-0.5|-1.0|-0.5|-1.0| |K7V
J11474+667   |M4.0V          |Reid07          |  | 5.0|  | 5.0| 5.0| 4.5| 4.5| 5.0| 5.0| |M5.0V
J11485+076   |M3.5V          |Shk09           |  | 3.5|  | 4.0| 4.0| 3.5| 3.5| 4.0| 3.5| |M3.5V
J11511+352   |M1.0V          |PMSU            |  | 1.5|  | 1.5| 1.5| 1.5| 1.5| 1.0| 1.5| |M1.5V
J11522+100   |M4.0V          |PMSU            |  | 4.0|  | 4.0| 4.0| 4.0| 4.5| 4.0| 4.0| |M4.0V
J11549-021   |               |                |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J12025+084   |sdM2.0         |Giz97           |  | 1.5|  | 1.5| 1.5| 2.0| 1.5| 1.5| 1.5| |M1.5V
J12049+174   |M2.5V          |Riaz06          |  | 3.5|  | 3.5| 3.5| 3.0| 3.0| 3.5| 3.0| |M3.5V
J12069+058   |               |                |  |-2.0|  |-2.0|    |    |    |    |    | |K5V
J12088+217   |M3.0V          |New14           |  | 0.5|  | 0.5| 0.5| 0.5| 0.5| 0.5| 0.5| |M0.5V
J12093+210   |M8V:e          |Ste86           |  | 2.5|  | 2.5| 3.0| 3.0| 3.0| 3.0| 3.0| |M2.5V
J12104-131   |M4.5V          |Riaz06          |  | 4.5|  | 4.5| 4.5| 4.0| 4.0| 4.5| 4.0| |M4.5V
J12124+121   |               |                |  | 2.0|  | 2.0| 2.0| 2.0| 2.0| 2.0| 2.0| |M2.0V
J12162+508   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.5| 4.5| 4.0| |M4.0V
J12228-040   |M4.5V          |Sch05           |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 5.0| 4.5| |M4.5V
J12322+454   |M1III          |JE12            |  |    |  |    |    |    |    |    |    | |MIII
J12349+322   |               |                |  | 3.5|  | 3.0| 3.0| 3.5| 3.0| 3.5| 3.5| |M3.5V
J12364+352   |M3.5V          |Reid04          |  | 4.5|  | 4.5| 4.0| 4.0| 4.5| 4.5| 4.5| |M4.5V
J12368-019   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 4.0| 4.0| 3.5| |M3.5V
J12372+358   |               |                |  | 1.5|  | 1.5| 2.0| 2.0| 1.5| 1.5| 1.5| |M1.5V
J12417+567   |M3.0V          |Riaz06          |  | 3.5|  | 3.5| 3.5| 3.5| 3.0| 3.5| 3.5| |M3.5V
J12440-111   |M4.5V          |Sch05           |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J12456+271   |M4III          |,Jac84, Kir91   |  |    |  |    |    |    |    |    |    | |MIII
J12470+466   |M2.5V          |PMSU            |  | 2.5|  | 2.5| 2.5| 2.5| 3.0| 2.5| 3.0| |M2.5V
J12488+120   |M4.0V          |Reid07          |  | 4.5|  | 4.5| 4.0| 4.5| 4.5| 4.5| 4.5| |M4.5V
J12533-053   |M3.0V          |Sch05           |  | 2.5|  | 3.0| 3.0| 3.5| 3.0| 3.0| 2.5| |M3.0V
J12533+466   |M3III          |JE12            |  |    |  |    |    |    |    |    |    | |MIII
J12549-063   |M4.0V          |PMSU            |  | 5.0|  | 5.0| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J12593-001   |M4.0V          |Sch05           |  | 4.0|  | 4.0| 3.5| 3.5| 4.0| 4.0| 3.5| |M4.0V
J13027+415   |k:             |Simbad          |  | 3.5|  | 3.0| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J13088-015   |M3.0V          |Sch05           |  | 3.0|  | 3.0| 3.5| 3.0| 3.0| 3.0| 3.0| |M3.0V
J13102+477   |M4.5V          |Riaz06          |  | 5.0|  | 5.0| 5.0| 5.0| 5.0| 5.0| 4.5| |M5.0V
J13113+096   |M0.0V          |New14           |  |-1.0|  |-1.0|-0.5| 0.0|-0.5| 0.0|-0.5| |M0.0V
J13143+133AB |M6-8V          |Sch14           |  | 6.0|  | 6.0| 6.0| 6.0| 6.0| 6.5| 6.0| |M6.0V
J13167-123   |M3.0V          |Sch05           |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J13168+170   |M0.5V          |PMSU            |  | 0.5|  | 0.5| 0.5| 0.5| 0.5| 0.5| 0.5| |M0.5V
J13179+362   |M1.0V          |PMSU            |  | 1.0|  | 1.0| 1.0| 1.5| 1.0| 1.0| 1.0| |M1.0V
J13182+733   |               |                |  | 3.5|  | 3.5| 3.5| 4.0| 3.5| 4.0| 3.5| |M3.5V
J13247-050   |M4.0V          |Sch05           |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J13251-114   |               |                |  | 3.0|  | 2.5| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J13253+426   |K5V            |Ste86           |  |-1.0|  |-1.0|-1.5|-1.5|-1.0|-1.0|-1.0| |K7V
J13260+275   |               |                |  | 3.0|  | 3.0| 3.0| 3.0| 2.5| 3.5| 3.0| |M3.0V
J13294-143   |M3.0V          |Reid07          |  | 3.5|  | 3.5| 4.0| 3.5| 3.5| 4.0| 3.0| |M3.5V
J13312+589   |               |                |  | 2.5|  | 2.5| 2.5| 2.0| 2.5| 2.5| 2.5| |M2.5V
J13314-079   |K7V            |Bid85           |  | 0.0|  | 0.0| 0.0| 0.0| 0.0| 0.0|-0.5| |M0.0V
J13321-112   |               |                |  | 0.0|  | 0.0|-0.5|-0.5|-0.5|-0.5|-0.5| |M0.0V
J13326+309   |M4.5V          |Sch05           |  | 4.5|  | 4.5| 4.5| 4.5| 4.0| 4.5| 4.0| |M4.5V
J13335+704   |M2.5V          |Reid07          |  | 3.5|  | 3.5| 3.5| 3.5| 4.0| 3.5| 3.5| |M3.5V
J13386-115   |               |                |  | 4.5|  | 4.5| 4.5| 4.5| 4.0| 4.5| 4.0| |M4.5V
J13394+461AB |M1.0V          |PMSU            |  | 1.0|  | 1.5| 1.5| 1.5| 1.5| 1.5| 1.5| |M1.5V
J13413-091   |               |                |  | 2.5|  | 2.5| 3.0| 3.0| 3.0| 3.0| 3.0| |M2.5V
J13414+489   |M3.5V          |Lep13           |  | 3.5|  | 3.5| 3.0| 3.0| 3.5| 3.5| 3.5| |M3.5V
J13474+063   |M0V            |Bid85           |  |-1.0|  |-1.0|-1.5|-1.5|-1.0|-1.0|-1.0| |K7V
J13503-216   |M3V:           |Bid85           |  | 4.0|  | 3.5| 3.5| 3.5| 4.0| 3.5| 3.5| |M3.5V
J13537+521AB |M3.5V          |Reid07          |  | 3.5|  | 3.0| 3.5| 3.5| 3.5| 3.5| 3.0| |M3.5V
J13551-079   |M0V            |Ste86           |  | 0.0|  | 0.0| 0.0| 0.0|-0.5|-0.5|-0.5| |M0.0V
J13555-073   |k:             |Simbad          |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 2.5| 3.0| |M3.0V
J13582-120   |M4.0V          |Sch05           |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J13583-132   |M4V            |Sch05           |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J13587+465   |M2III          |,MP50, JE12     |  |    |  |    |    |    |    |    |    | |MIII
J14019+432   |               |                |  | 2.5|  | 2.0| 3.0| 3.0| 2.5| 2.5| 2.5| |M2.5V
J14102-180   |               |                |  | 2.5|  | 2.5| 2.5| 2.5| 3.0| 2.5| 3.0| |M2.5V
J14159-110   |               |                |  | 1.5|  | 1.5| 2.0| 1.5| 1.5| 1.5| 1.5| |M1.5V
J14171+088   |               |                |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.0| |M4.5V
J14175+025   |               |                |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J14194+029   |m4.5:          |Law08           |  | 5.0|  | 5.0| 5.0| 4.5| 5.0| 5.0| 4.5| |M5.0V
J14195-051   |M5V            |New14           |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J14215-079   |               |                |  | 4.0|  | 4.0| 3.5| 3.5| 4.0| 4.0| 4.0| |M4.0V
J14227+164   |               |                |  | 5.0|  | 5.0| 5.0| 4.5| 4.5| 4.5| 4.5| |M5.0V
J14244+602   |               |                |  | 2.0|  | 2.0| 2.0| 2.0| 2.0| 1.5| 2.0| |M2.0V
J14251+518   |M2.5V          |PMSU            |  | 2.5|  | 2.0| 2.5| 2.5| 2.5| 2.0| 2.5| |M2.5V
J14255-118   |               |                |  | 4.0|  | 4.0| 4.0| 3.5| 4.0| 4.0| 4.0| |M4.0V
J14312+754   |M4.0V          |Reid07          |  | 4.0|  | 4.0| 4.0| 4.0| 3.5| 4.0| 3.5| |M4.0V
J14336+093   |M3V:           |Bid85           |  | 3.5|  | 3.0| 3.0| 3.5| 3.5| 3.5| 3.0| |M3.5V
J14415+136   |M3V:           |Bid85           |  | 1.0|  | 1.0| 1.0| 1.0| 1.5| 1.0| 1.0| |M1.0V
J14446-222   |M4.5V          |Reid04          |  | 4.5|  | 4.5| 4.0| 4.0| 4.5| 4.5| 4.0| |M4.5V
J14472+570   |               |                |  | 3.5|  | 4.0| 4.0| 4.0| 3.5| 4.0| 3.5| |M4.0V
J14480+384   |K5V            |PMSU            |  |-1.0|  |-1.0|-1.0|-1.0|-1.0|-0.5|-1.0| |K7V
J14485+101   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 4.0| 3.5| 3.5| |M3.5V
J14492+498   |               |                |  | 1.5|  | 1.5| 1.5| 1.5| 1.5| 2.0| 1.5| |M1.5V
J14501+323   |M3.0V          |Reid04          |  | 3.5|  | 3.0| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J14544+161ABC|M2.0V+M8.5+M9.0|,PMSU, Simbad   |  | 0.5|  | 1.0| 2.0| 2.0| 1.0| 1.0| 0.5| |M1.0:V
J14595+454   |M0V            |Bid85           |  |-1.0|  |-1.0|-1.5|-1.5|-1.0|-1.0|-1.0| |K7V
J15079+762   |               |                |  | 4.5|  | 4.5| 5.0| 4.5| 4.0| 4.5| 4.0| |M4.5V
J15081+623   |               |                |  | 4.0|  | 4.0| 3.5| 3.5| 4.0| 4.0| 4.0| |M4.0V
J15118+395   |               |                |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J15131+181   |               |                |  | 2.0|  | 1.5| 2.0| 2.0| 2.0| 2.0| 2.0| |M2.0V
J15142-099   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 3.5| |M4.0V
J15147+645   |m:             |Simbad          |  | 3.5|  | 3.5| 3.5| 3.5| 3.0| 3.0| 3.5| |M3.5V
J15151+333   |M2.5V          |Reid04          |  | 2.0|  | 2.0| 2.0| 2.5| 2.0| 2.0| 2.0| |M2.0V
J15157-074   |M2-3V          |Gig98           |  | 4.0|  | 4.0| 4.0| 4.0| 3.5| 4.0| 3.5| |M4.0V
J15164+167   |               |                |  |-2.0|  |-2.0|    |    |    |    |    | |K5V
J15197+046   |               |                |  | 4.0|  | 4.0| 4.0| 3.5| 4.0| 4.0| 4.0| |M4.0V
J15204+001   |K5V            |Bid85           |  | 0.0|  | 0.0|-1.0|-0.5|-1.0|-0.5|-1.0| |M0.0V
J15210+255   |K8V            |Ste86           |  |-1.0|  |-1.0|-1.0|-1.0|-1.0|-0.5|-1.0| |K7V
J15238+584   |M3.5V          |Sch05           |  | 4.0|  | 4.0| 4.0| 4.0| 3.5| 4.0| 3.5| |M4.0V
J15277-090   |M4.5V          |PMSU            |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J15290+467AB |M4.5V+m5.0:    |,Reid07, Jan12  |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J15291+574   |               |                |  | 1.0|  | 1.0| 0.5| 0.5| 1.0| 0.5| 1.0| |M1.0V
J15305+094   |               |                |  | 5.5|  | 5.5| 5.5| 5.5| 5.5| 5.5| 5.5| |M5.5V
J15340+513   |               |                |  | 4.5|  | 4.5| 4.0| 4.5| 4.5| 4.5| 4.5| |M4.5V
J15386+371   |M:             |SP88            |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J15430-130   |               |                |  | 1.5|  | 1.5| 1.5| 1.5| 1.5| 1.5| 1.5| |M1.5V
J15474+451   |M4.0V          |Sch05           |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J15476+226   |M3.5V          |Abe14           |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.0| |M4.5V
J15480+043   |               |                |  | 2.5|  | 2.5| 3.0| 2.5| 3.0| 2.5| 2.5| |M2.5V
J15481+015   |M3.0V          |Eis07           |  | 2.5|  | 2.5| 3.0| 2.5| 3.0| 3.0| 3.0| |M2.5V
J15499+796   |m4.5:          |Law08           |  | 5.0|  | 5.0| 5.0| 5.0| 5.0| 5.0| 4.5| |M5.0V
J15552-101   |               |                |  | 2.5|  | 2.5| 3.0| 3.0| 2.5| 2.5| 2.0| |M2.5V
J15557-103   |M3.5V          |Riaz06          |  | 3.5|  | 3.5| 4.0| 3.5| 3.5| 4.0| 3.0| |M3.5V
J15558-118   |M3.0V          |Sch05           |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J15569+376   |M2.5V          |Riaz06          |  | 2.5|  | 2.0| 3.0| 2.5| 2.5| 3.0| 2.0| |M2.5V
J15578+090   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.5| 4.0| 4.0| |M4.0V
J16023+036   |               |                |  | 1.5|  | 1.5| 1.5| 1.5| 1.5| 2.0| 1.5| |M1.5V
J16042+235   |               |                |  | 5.0|  | 5.0| 5.0| 5.0| 5.0| 5.0| 5.0| |M5.0V
J16048+391   |M4.0V          |PMSU            |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J16120+033N  |               |                |  | 3.5|  | 3.5| 4.0| 4.0| 3.5| 4.0| 3.5| |M3.5V
J16139+337AB |M2.5V          |PMSU            |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J16148+606AB |M3.5V          |Reid04          |  | 3.0|  | 3.0| 3.0| 3.0| 2.5| 3.0| 2.5| |M3.0V
J16157+586   |M5.0V          |Sch05           |  | 5.0|  | 5.0| 5.0| 4.5| 5.0| 5.0| 4.5| |M5.0V
J16167+672S  |M1.0V          |PMSU            |  | 0.0|  | 0.0| 0.0| 0.0| 0.0| 0.0| 0.0| |M0.0V
J16183+757   |M4.0V          |PMSU            |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J16243+199   |               |                |  | 3.0|  | 3.0| 3.5| 3.0| 3.0| 3.0| 2.5| |M3.0V
J16254+543   |M2.0V          |PMSU            |  | 1.5|  | 1.5| 2.0| 1.5| 1.5| 1.5| 1.5| |M1.5V
J16269+149   |               |                |  | 4.0|  | 4.0| 4.5| 4.0| 4.0| 4.5| 3.5| |M4.0V
J16276-035AB |K4V            |Ste86           |  |-2.0|  |-2.0|    |    |    |    |    | |K5V
J16299+048   |               |                |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.5| 3.0| |M3.0V
J16314+471   |               |                |  | 3.5|  | 3.5| 4.0| 4.0| 3.5| 4.0| 3.0| |M3.5V
J16330+031   |               |                |  | 3.0|  | 3.0| 3.0| 3.0| 3.5| 3.0| 3.0| |M3.0V
J16354-039   |m:             |Simbad          |  | 0.0|  | 0.0|-1.5|-1.5| 0.0|-0.5| 0.0| |sdM0:
J16365+287   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 4.0| 3.5| 3.5| |M3.5V
J16459+609   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.0| |M3.5V
J16465+345   |M6.5V          |Reid03          |  | 6.0|  | 6.0| 6.0| 6.5| 6.0| 6.0| 6.0| |M6.0V
J16480+453   |M4.0V          |Riaz06          |  | 4.0|  | 4.0| 4.5| 4.0| 4.0| 4.5| 3.5| |M4.0V
J16528+610   |M6V            |Simbad          |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J16536+560   |               |                |  | 3.5|  | 3.0| 4.0| 4.0| 3.5| 3.5| 3.0| |M3.5V
J16543+256   |               |                |  | 2.5|  | 2.5| 3.0| 3.5| 3.0| 3.0| 3.0| |M3.0V
J16555-083   |M7.0V          |PMSU            |  | 7.0|  | 6.5| 7.0| 7.0| 7.0| 7.0| 7.0| |M7.0V
J17011+555   |               |                |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J17017+741   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J17052-050   |M2.0V          |PMSU            |  | 1.5|  | 1.5| 2.0| 2.0| 1.5| 1.5| 1.5| |M1.5V
J17062+646   |M2.5V          |GR97            |  | 3.0|  | 3.0| 3.0| 3.0| 2.5| 2.5| 2.5| |M3.0V
J17094+391   |m:             |Simbad          |  | 3.0|  | 3.0| 3.0| 3.0| 2.5| 3.0| 2.5| |M3.0V
J17126-099   |M2:III         |JE12            |  |    |  |    |    |    |    |    |    | |MIII
J17140+176   |               |                |  | 2.5|  | 2.5| 2.5| 3.0| 2.5| 2.5| 2.5| |M2.5V
J17154+308   |M2.5V          |Reid04          |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J17163-053   |               |                |  | 4.0|  | 4.5| 4.0| 4.5| 4.5| 4.0| 4.0| |M4.0V
J17167+115   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J17176+524   |M4.0V          |Sch05           |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 4.0| 3.5| |M3.5V
J17198+265   |M4.5V          |PMSU            |  | 4.5|  | 4.5| 5.0| 4.5| 4.5| 5.0| 4.0| |M4.5V
J17199+265   |M3.5V          |PMSU            |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J17199+242   |               |                |  | 4.0|  | 4.5| 4.5| 4.0| 4.5| 4.5| 4.0| |M4.5V
J17216-171   |M2III          |JE12            |  |    |  |    |    |    |    |    |    | |MIII
J17239+136   |M3.5V          |Reid07          |  | 4.0|  | 4.0| 4.0| 3.5| 4.0| 4.0| 3.5| |M4.0V
J17246+617   |               |                |  | 3.0|  | 3.0| 3.5| 3.0| 3.5| 3.0| 3.0| |M3.0V
J17265-227   |               |                |  | 2.5|  | 2.5| 3.0| 3.0| 2.0| 2.5| 2.0| |M2.5V
J17267-050   |               |                |  | 2.5|  | 2.0| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J17270+422   |               |                |  |-2.0|  |-2.0|    |    |    |    |    | |K5V
J17281-017   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.5| 4.0| |M4.0V
J17299-209   |M3.5V          |Reid04          |  | 3.5|  | 3.0| 3.0| 3.5| 3.0| 3.5| 3.0| |M3.0V
J17301+546   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J17304+337   |M3.0V          |Reid07          |  | 3.5|  | 3.0| 3.5| 3.5| 3.0| 3.5| 3.0| |M3.5V
J17364+683   |M3.0V          |PMSU            |  | 3.0|  | 3.5| 3.0| 3.5| 3.0| 3.0| 3.0| |M3.0V
J17412+724   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J17426+756   |M4.5V          |GR97            |  | 4.5|  | 4.5| 4.0| 4.5| 4.5| 4.5| 4.0| |M4.5V
J17428+167   |               |                |  | 1.5|  | 1.5| 2.0| 1.5| 1.5| 1.5| 1.5| |M1.5V
J17464+277AB |M3.5V          |PMSU            |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J17477+277   |               |                |  | 1.5|  | 1.5| 1.5| 1.5| 1.5| 1.0| 1.5| |M1.5V
J17520+566   |M3.5V          |Riaz06          |  | 3.5|  | 3.5| 4.0| 3.5| 4.0| 3.5| 3.0| |M3.5V
J17559+294   |               |                |  | 3.5|  | 3.5| 4.0| 3.5| 3.5| 4.0| 3.5| |M3.5V
J17578+046   |M4.0V          |PMSU            |  | 3.5|  | 3.5| 3.5| 4.0| 3.5| 3.5| 3.5| |M3.5V
J17578+465   |M3.0V          |PMSU            |  | 2.5|  | 2.5| 3.0| 3.0| 3.0| 3.0| 3.0| |M2.5V
J18006+685   |               |                |  |-1.0|  | 0.0|-1.0|-1.0|-0.5| 0.0|-0.5| |K7V
J18007+295   |M2.0V          |Jah08           |  | 2.5|  | 2.5| 2.0| 2.0| 2.0| 2.0| 2.5| |M2.0V
J18019+001   |               |                |  | 3.5|  | 4.0| 3.5| 3.5| 3.5| 4.0| 3.5| |M3.5V
J18022+642   |M5.0V          |Riaz06          |  | 5.0|  | 5.0| 5.0| 4.5| 4.5| 5.0| 4.5| |M5.0V
J18028-030   |M3.0V          |RS14            |  | 3.5|  | 3.5| 3.5| 3.5| 4.0| 4.0| 3.5| |M3.5V
J18036-189   |m:             |Simbad          |  | 5.0|  | 5.0| 5.0| 4.5| 5.0| 5.0| 4.5| |M5.0V
J18041+838   |M4.5V          |RS14            |  | 3.5|  | 4.0| 3.5| 3.5| 4.0| 4.0| 3.5| |M3.5V
J18046+139   |M2.5V          |Reid07          |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 3.0| 2.5| |M2.5V
J18054+015   |M7.0V          |RS14            |  | 3.5|  | 3.0| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J18057-143   |               |                |  | 5.5|  | 5.5| 5.5| 5.5| 5.5| 5.5| 5.5| |M5.5V
J18068+177   |M4.0V          |Reid04          |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 3.5| |M4.0V
J18090+241   |               |                |  | 1.0|  | 1.0| 1.0| 1.0| 1.5| 1.0| 1.5| |M1.0V
J18112-010   |M3.5V          |Riaz06          |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 4.0| 3.0| |M3.5V
J18130+414   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J18131+260AB |M4.0V+M3.8:    |,PMSU, Shk09    |  | 4.0|  | 4.0| 4.5| 4.0| 4.0| 4.0| 3.5| |M4.0V
J18135+055   |               |                |  | 4.0|  | 4.0| 3.5| 3.5| 4.0| 3.5| 4.0| |M4.0V
J18149+196   |M4.0V          |RS14            |  | 2.0|  | 2.0| 2.0| 2.0| 1.5| 2.0| 1.5| |M2.0V
