#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-05-20T14:28:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ537b66326c15	
#INFO	-out.max=1000	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=1000
#-order=I
#-nav=cat:J/MNRAS/389/585&tab:{J/MNRAS/389/585/table1}&key:source=J/MNRAS/389/585&HTTPPRM:&&-ref=VIZ537b66326c15&-out.max=1000&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/MNRAS/389/585/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Name&-out=Teff&-out=theta&-out=mBol&-out=Vmag&-out=B-V&-out=U-B&-out=V-Rc&-out=V-Ic&-out=Jmag&-out=Hmag&-out=Ksmag&-out=[M/H]&-out=Simbad&-out=_RA&-out=_DE&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-order=I
#-out.src=J/MNRAS/389/585/table1
#-source=J/MNRAS/389/585/table1
#-order=I
#-out=Name
#-out=Teff
#-out=theta
#-out=mBol
#-out=Vmag
#-out=B-V
#-out=U-B
#-out=V-Rc
#-out=V-Ic
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=[M/H]
#-out=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_73890585
#Name: J/MNRAS/389/585
#Title: Fundamental parameters of M dwarfs (Casagrande+, 2008)
#Table	J_MNRAS_389_585_table1:
#Name: J/MNRAS/389/585/table1
#Title: Observable and physical quantities for our sample stars
#Column	Name	(a14)	Star name	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	theta	(F6.3)	Angular diameter	[ucd=phys.angSize]
#Column	mBol	(F6.3)	Apparent bolometric magnitude (1)	[ucd=phot.mag.bol]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	V-Rc	(F6.3)	Johnson-Cousins V-Rc colour index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-Ic	(F6.3)	Johnson-Cousins V-Ic colour index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	Jmag	(F6.3)	2MASS Johnson J magnitude	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS Johnson H magnitude	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F6.3)	2MASS Johnson Ks magnitude	[ucd=phot.mag;em.IR.K]
#Column	[M/H]	(F5.2)	? Metallicity (2)	[ucd=phys.abund.Z]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name;Teff;theta;mBol;Vmag;B-V;U-B;V-Rc;V-Ic;Jmag;Hmag;Ksmag;[M/H];Simbad;_RA;_DE
NLTT 21498    ;3119; 0.092;12.438;14.561;      ;      ; 1.121; 2.569;10.577; 9.963; 9.672; 0.11;Simbad;139.97233;-18.81025
NLTT 21625    ;3269; 0.116;11.740;13.640;      ;      ; 1.070; 2.420; 9.900; 9.312; 9.065;-0.20;Simbad;140.85350;-05.04897
NLTT 21628    ;3289; 0.110;11.829;13.690;      ;      ; 1.070; 2.410;10.020; 9.409; 9.131;-0.11;Simbad;140.85708;-05.05014
NLTT 25189    ;3094; 0.158;11.299;13.518;      ;      ; 1.140; 2.631; 9.422; 8.782; 8.552;-0.03;Simbad;161.07847;+12.41993
NLTT 25488    ;2986; 0.076;13.047;15.600;      ;      ; 1.230; 2.870;11.086;10.523;10.215;     ;Simbad;162.63646;-13.43694
NLTT 27404    ;3015; 0.119;12.033;14.499;      ;      ; 1.184; 2.760;10.105; 9.473; 9.172;     ;Simbad;171.71162;-18.74975
NLTT 27993    ;3244; 0.166;10.986;12.900;      ;      ; 1.110; 2.540; 9.351; 8.434; 8.266;-0.18;Simbad;174.23787;-23.49664
NLTT 28797    ;2826; 0.106;12.567;15.640;      ;      ; 1.412; 3.255;10.544; 9.987; 9.643;     ;Simbad;177.98037;-01.52553
NLTT 29087    ;2971; 0.115;12.168;14.770;      ;      ; 1.260; 2.930;10.221; 9.622; 9.355;     ;Simbad;179.47287;-23.81686
NLTT 29126    ;3182; 0.159;11.166;13.220;      ;      ; 1.110; 2.520; 9.330; 8.677; 8.425; 0.09;Simbad;179.58246;-22.68325
NLTT 29790    ;2987; 0.114;12.170;14.719;      ;      ; 1.231; 2.872;10.218; 9.639; 9.338;     ;Simbad;182.47537;-29.33761
NLTT 30097    ;3065; 0.088;12.608;14.948;      ;      ; 1.183; 2.720;10.707;10.079; 9.814;     ;Simbad;183.74017;-22.21656
NLTT 30693    ;2785; 0.143;11.975;15.185;      ;      ; 1.427; 3.339; 9.949; 9.363; 8.998;     ;Simbad;186.38337;-15.99494
NLTT 31903    ;3249; 0.094;12.220;14.134;      ;      ; 1.071; 2.417;10.404; 9.761; 9.511; 0.09;Simbad;191.90229;-28.55511
NLTT 35266    ;2942; 0.105;12.417;15.098;      ;      ; 1.303; 3.044;10.413; 9.937; 9.664;     ;Simbad;207.03050;-13.74200
NLTT 41700    ;3245; 0.124;11.630;13.580;      ;      ; 1.090; 2.490; 9.745; 9.262; 8.975;-0.80;Simbad;240.11596;-34.72142
NLTT 41951    ;2949; 0.108;12.329;14.999;      ;      ; 1.307; 3.006;10.364; 9.800; 9.511;     ;Simbad;241.62283;-24.12347
NLTT 45184    ;3168; 0.088;12.468;14.590;      ;      ; 1.130; 2.620;10.594;10.005; 9.782;-0.50;Simbad;264.81917;-14.20278
NLTT 45333    ;3071; 0.068;13.164;15.480;      ;      ; 1.160; 2.690;11.235;10.663;10.388;     ;Simbad;265.91608;-14.68756
NLTT 46549    ;3220; 0.125;11.644;13.690;      ;      ; 1.160; 2.610; 9.823; 9.204; 8.947;-0.60;Simbad;277.31550;-15.73086
NLTT 46996    ;3341; 0.105;11.855;13.610;      ;      ; 1.030; 2.320;10.044; 9.455; 9.227;-0.50;Simbad;281.89992;-17.05442
NLTT 47701    ;3124; 0.105;12.145;14.350;      ;      ; 1.170; 2.690;10.274; 9.675; 9.403;-0.30;Simbad;290.27358;-20.28400
NLTT 47928    ;3252; 0.094;12.214;14.130;      ;      ; 1.050; 2.440;10.325; 9.834; 9.571;-0.70;Simbad;293.35137;-17.57233
NLTT 48492    ;2957; 0.145;11.693;14.350;      ;      ; 1.291; 2.975; 9.730; 9.167; 8.843;     ;Simbad;299.46658;-10.88481
NLTT 49856    ;3014; 0.170;11.264;13.762;      ;      ; 1.240; 2.867; 9.349; 8.728; 8.435;     ;Simbad;311.68183;-11.80372
NLTT 50316    ;3094; 0.113;12.035;14.316;      ;      ; 1.171; 2.686;10.127; 9.535; 9.293;-0.20;Simbad;315.30271;-30.76797
NLTT 50710    ;2937; 0.129;11.972;14.670;      ;      ; 1.283; 2.976; 9.987; 9.439; 9.121;     ;Simbad;317.80696;-22.80492
NLTT 50723    ;2688; 0.097;12.968;16.560;      ;      ; 1.640; 3.600;10.937;10.281; 9.950;     ;Simbad;317.85083;-09.67597
NLTT 50779    ;3307; 0.112;11.756;13.602;      ;      ; 1.051; 2.362; 9.961; 9.293; 9.056; 0.19;Simbad;318.28437;-26.41653
NLTT 51469    ;3192; 0.122;11.724;13.782;      ;      ; 1.108; 2.561; 9.848; 9.281; 9.045;-0.50;Simbad;322.99854;-01.33444
NLTT 52141    ;2917; 0.124;12.088;14.848;      ;      ; 1.294; 3.029;10.130; 9.507; 9.210;     ;Simbad;327.22096;-19.79081
NLTT 52469    ;2947; 0.133;11.893;14.587;      ;      ; 1.321; 3.063; 9.925; 9.388; 9.086;     ;Simbad;329.08250;-10.33806
NLTT 52512    ;2847; 0.128;12.130;15.110;      ;      ; 1.379; 3.168;10.142; 9.509; 9.239;     ;Simbad;329.30283;-09.05744
NLTT 53603    ;2988; 0.114;12.160;14.737;      ;      ; 1.277; 2.925;10.212; 9.637; 9.354;     ;Simbad;335.45721;-42.15075
NLTT 53676    ;3114; 0.097;12.340;14.543;      ;      ; 1.141; 2.638;10.444; 9.864; 9.586;-0.20;Simbad;335.75933;-29.36483
NLTT 53693    ;3056; 0.103;12.278;14.647;      ;      ; 1.212; 2.784;10.356; 9.792; 9.510;     ;Simbad;335.82504;-27.15425
NLTT 54721    ;2921; 0.240;10.642;13.381;      ;      ; 1.286; 3.002; 8.681; 8.057; 7.793;     ;Simbad;341.25025;-33.25725
NLTT 9220     ;3418; 0.110;11.659;13.300;      ;      ; 1.030; 2.230; 9.863; 9.306; 9.068;-0.70;Simbad;043.42227;+35.04545
NLTT 55077    ;2898; 0.117;12.232;15.079;      ;      ; 1.337; 3.116;10.236; 9.689; 9.370;     ;Simbad;343.02183;-15.54750
NLTT 55711    ;3018; 0.113;12.148;14.631;      ;      ; 1.250; 2.863;10.212; 9.655; 9.293;     ;Simbad;345.99879;-16.20189
NLTT 56566    ;3048; 0.165;11.279;13.662;      ;      ; 1.204; 2.792; 9.355; 8.790; 8.493;     ;Simbad;350.24033;-01.79372
NLTT 57204    ;3010; 0.110;12.202;14.706;      ;      ; 1.236; 2.871;10.279; 9.669; 9.393;     ;Simbad;353.34158;-12.66867
NLTT 58441    ;3100; 0.168;11.168;13.427;      ;      ; 1.167; 2.703; 9.257; 8.703; 8.431;-0.30;Simbad;358.97979;-13.35656
NLTT 20726    ;2464; 0.220;11.574;16.100;      ;      ; 2.010; 4.250; 9.436; 8.836; 8.437;     ;Simbad;135.09813;+21.83465
GJ 1128       ;2918; 0.336; 9.923;12.720;      ;      ; 1.370; 3.110; 7.953; 7.385; 7.037;     ;Simbad;145.69283;-68.88583
GJ 1123       ;2905; 0.281;10.327;13.140;      ;      ; 1.340; 3.040; 8.329; 7.768; 7.448;     ;Simbad;139.27529;-77.82364
GJ 1277       ;2836; 0.218;10.983;14.010;      ;      ; 1.410; 3.200; 8.984; 8.360; 8.108;     ;Simbad;344.10296;-60.06369
LHS 2         ;2750; 0.307;10.364;13.770;      ;      ; 1.610; 3.620; 8.323; 7.792; 7.439;     ;Simbad;001.68000;-07.53808
LHS 234       ;2530; 0.149;12.303;16.540;      ;      ; 1.860; 4.110;10.155; 9.628; 9.291;     ;Simbad;115.08067;-17.41275
LHS 288       ;2770; 0.277;10.569;13.920;      ;      ; 1.590; 3.610; 8.492; 8.054; 7.728;     ;Simbad;161.08858;-61.20983
LHS 2351      ;2346; 0.063;14.496;19.560;      ;      ; 2.310; 4.650;12.329;11.716;11.332;     ;Simbad;166.57907;+04.47574
LHS 2502      ;2468; 0.048;14.879;19.130;      ;      ; 1.720; 3.800;12.754;12.068;11.789;     ;Simbad;180.78853;+17.02288
SCR J0420-7005;2586; 0.090;13.298;17.170;      ;      ; 1.610; 3.680;11.192;10.586;10.251;     ;Simbad;065.05250;-70.09972
SCR J0702-6102;2577; 0.132;12.489;16.610;      ;      ; 1.860; 4.130;10.359; 9.854; 9.522;     ;Simbad;105.70958;-61.04667
SCR J0723-8015;2610; 0.083;13.429;17.410;      ;      ; 1.810; 4.000;11.301;10.818;10.440;     ;Simbad;110.99875;-80.25500
SCR J1138-7721;2774; 0.184;11.449;14.780;      ;      ; 1.580; 3.530; 9.399; 8.890; 8.521;     ;Simbad;174.57008;-77.36356
LP 775-31     ;2216; 0.168;12.621;17.820;      ;      ; 2.040; 4.460;10.406; 9.779; 9.352;     ;Simbad;068.81721;-16.11597
LP 655-48     ;2250; 0.147;12.845;17.860;      ;      ; 1.910; 4.230;10.658; 9.986; 9.545;     ;Simbad;070.09689;-05.50230

